Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.14213207838781344
5_years,64,4,256,2,2.187367393961099
5_years,64,8,128,2,0.21140913532769168
5_years,64,8,256,2,0.5832988990712724
5_years,128,4,128,2,0.44275105351252536
5_years,128,4,256,2,0.4144958510222849
5_years,128,8,128,2,0.19408604406256097
5_years,128,8,256,2,0.5555591361719939
10_years,64,4,128,2,0.5694864018519614
10_years,64,4,256,2,0.886112304007531
10_years,64,8,128,2,1.2690005314894623
10_years,64,8,256,2,0.8882222876389705
10_years,128,4,128,2,0.8417285041312567
10_years,128,4,256,2,2.1133910536368963
10_years,128,8,128,2,2.960500402063909
10_years,128,8,256,2,1.1599696210668902
